"Comment","Designator","Footprint","LCSC Part #"
"100uF","C102,C101","CP_EIA-3528-21_Kemet-B","C16133"
"10uF","C103","CP_EIA-3216-18_Kemet-A","C7171"
"1uF","C106,C104","C_0402_1005Metric","C52923"
"4.7uF","C111,C105,C112","C_0402_1005Metric","C23733"
"100nF","C114,C113,C117,C110,C109,C108,C107,C115,C116,C202,C201,C302,C303,C304,C305,C307,C308,C309,C310,C311,C312,C301,C313,C314,C315,C316,C317,C318,C306","C_0402_1005Metric","C1525"
"1N4148","D202,D203,D204,D205,D206,D208,D209,D210,D212,D213,D214,D215,D216,D218,D219,D220,D221,D223,D224,D225,D226,D227,D228,D229,D230,D232,D233,D234,D235,D236,D238,D239,D240,D241,D243,D244,D245,D246,D248,D249,D250,D251,D253,D254,D255,D256,D257,D259,D260,D261,D262,D263,D265,D266,D267,D269,D270,D271,D272,D274,D275,D276,D277,D279,D280,D281,D282,D283,D278,D273,D268,D264,D258,D252,D247,D242,D237,D231,D222,D217,D211,D207,D201","D_SOD-323F","C2128"
"AO3400A","Q101","SOT-23","C20917"
"100R","R101","R_0402_1005Metric","C25076"
"10R","R102","R_0402_1005Metric","C25077"
"10k","R103,R283,R284","R_0402_1005Metric","C25744"
"47k","R107,R106,R104,R105","R_0402_1005Metric","C25792"
"680R","R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R230,R231,R232,R233,R234,R235,R236,R237,R238,R239,R240,R241,R242,R243,R244,R245,R246,R247,R248,R249,R250,R251,R252,R253,R254,R255,R256,R257,R258,R259,R260,R261,R262,R263,R264,R265,R266,R267,R268,R269,R270,R271,R272,R273,R274,R275,R276,R277,R278,R279,R280,R281,R282","R_0603_1608Metric","C23228"
"RST","SW101","SKQG-1155865","C318886"
"BOOT","SW102","SKQG-1155865","C318886"
"XC6206P332MR","U101","SOT-23","C5446"
"STM32F072CBTx","U102","LQFP-48_7x7mm_P0.5mm","C81720"
"74LVC1G125","U301","SOT-23-5","C23654"
